id,证券代码,证券简称,所属行业名称,无形资产,研发支出合计,研发支出总额占营业收入比例,净利润,研发人员数量,政府补助,资产负债率,总资产,流动比率,营业收入,净利润,销售净利率,流动资产周转率,研发人员数量占比,技术人员人数,新增专利数,新增发明专利数,新增新型专利,新增外观专利
1851,600143.SH,金发科技,材料,2285969068.35 ,1170847023.31 ,4.00 ,1264243935.19 ,1081.00 ,195150538.67 ,48.28 ,-15.45 ,1.46 ,-19.88 ,-133.30 ,-1.30 ,2.44 ,16.47 ,1088.00 ,69.00 ,62.00 ,7.00 ,0.00 
1852,600143.SH,金发科技,材料,1608576489.81 ,1014176545.96 ,4.01 ,624985060.10 ,1088.00 ,340088404.41 ,53.10 ,-9.57 ,1.38 ,-4.47 ,-0.34 ,2.56 ,0.61 ,16.12 ,994.00 ,29.00 ,25.00 ,4.00 ,0.00 
1853,600143.SH,金发科技,材料,1591887549.17 ,938175915.71 ,4.05 ,551534151.16 ,994.00 ,262924779.35 ,62.29 ,-30.65 ,1.14 ,27.56 ,130.95 ,2.45 ,0.98 ,13.60 ,949.00 ,17.00 ,17.00 ,0.00 ,0.00 
1854,600143.SH,金发科技,材料,1688054477.65 ,847250449.41 ,4.71 ,736440875.77 ,949.00 ,190266014.32 ,26.53 ,80.03 ,2.25 ,1752.63 ,1851.39 ,8.16 ,1.76 ,14.13 ,768.00 ,20.00 ,20.00 ,0.00 ,0.00 
1855,600143.SH,金发科技,材料,1635946855.60 ,742694753.93 ,4.74 ,692144825.47 ,768.00 ,183501904.56 ,13.97 ,2.25 ,5.46 ,-1.17 ,1.13 ,7.74 ,1.48 ,12.96 ,665.00 ,0.00 ,0.00 ,0.00 ,0.00 
1856,600160.SH,巨化股份,材料,747179936.82 ,497954730.24 ,3.19 ,918057333.43 ,849.00 ,285866861.96 ,37.93 ,-19.07 ,1.86 ,-3.11 ,-5.28 ,-19.39 ,2.21 ,12.24 ,799.00 ,0.00 ,0.00 ,0.00 ,0.00 
1857,600160.SH,巨化股份,材料,703612107.79 ,496403922.55 ,3.17 ,2182941371.06 ,824.00 ,44548228.70 ,36.72 ,-17.16 ,1.94 ,-16.84 ,-1489.76 ,-31.51 ,0.92 ,12.45 ,631.00 ,0.00 ,0.00 ,0.00 ,0.00 
1858,600160.SH,巨化股份,材料,514612365.25 ,371336462.40 ,2.70 ,944202283.17 ,476.00 ,35391050.98 ,36.35 ,-1.72 ,1.97 ,-4.01 ,132.58 ,1.89 ,1.08 ,8.30 ,623.00 ,0.00 ,0.00 ,0.00 ,0.00 
1859,600160.SH,巨化股份,材料,499013492.08 ,193720901.39 ,1.92 ,154097231.81 ,411.00 ,83093244.83 ,83.13 ,-4.29 ,0.55 ,-37.50 ,131.92 ,1.82 ,1.75 ,6.90 ,663.00 ,0.00 ,0.00 ,0.00 ,0.00 
1860,600160.SH,巨化股份,材料,531515172.04 ,118218135.63 ,1.24 ,164363367.09 ,475.00 ,70092830.00 ,84.06 ,-11.25 ,0.57 ,-51.41 ,-479.35 ,-3.56 ,1.38 ,7.60 ,654.00 ,0.00 ,0.00 ,0.00 ,0.00 
1861,600165.SH,新日恒力,材料,47045506.95 ,1635132.56 ,0.62 ,-52062060.86 ,98.00 ,2511368.17 ,31.42 ,-5.40 ,1.48 ,3.21 ,217.58 ,3.45 ,0.26 ,27.22 ,73.00 ,0.00 ,0.00 ,0.00 ,0.00 
1862,600165.SH,新日恒力,材料,47778044.88 ,711509.39 ,0.13 ,11572807.74 ,27.00 ,3690529.78 ,33.69 ,-6.44 ,1.15 ,-15.45 ,104.80 ,0.63 ,0.99 ,5.25 ,43.00 ,0.00 ,0.00 ,0.00 ,0.00 
1863,600165.SH,新日恒力,材料,5844895.50 ,1080953.41 ,0.09 ,41150406.51 ,43.00 ,6982062.11 ,35.04 ,-17.43 ,1.06 ,-5.74 ,-2365.17 ,-11.18 ,1.26 ,8.35 ,90.00 ,0.00 ,0.00 ,0.00 ,0.00 
1864,600165.SH,新日恒力,材料,120061651.32 ,22424598.12 ,0.81 ,-187799601.67 ,90.00 ,14902146.21 ,69.99 ,6.02 ,0.25 ,-13.07 ,-37.14 ,3.45 ,1.40 ,3.73 ,131.00 ,0.00 ,0.00 ,0.00 ,0.00 
1865,600165.SH,新日恒力,材料,126297930.14 ,2153006.34 ,0.20 ,47165215.71 ,131.00 ,9674925.49 ,68.93 ,8.59 ,0.33 ,-28.17 ,-86.34 ,4.77 ,1.39 ,4.42 ,185.00 ,0.00 ,0.00 ,0.00 ,0.00 
1866,600172.SH,黄河旋风,材料,218409052.17 ,116744712.70 ,4.01 ,41966019.23 ,363.00 ,44652273.32 ,48.39 ,1.59 ,0.66 ,-0.30 ,7.82 ,9.93 ,0.74 ,13.15 ,583.00 ,66.00 ,9.00 ,55.00 ,2.00 
1867,600172.SH,黄河旋风,材料,303032422.48 ,116038514.02 ,3.67 ,-249638591.55 ,563.00 ,19236848.28 ,49.76 ,-0.14 ,0.66 ,1.45 ,35.36 ,10.45 ,0.70 ,16.61 ,1019.00 ,29.00 ,1.00 ,27.00 ,1.00 
1868,600172.SH,黄河旋风,材料,324015545.13 ,113353723.51 ,3.83 ,49852632.50 ,,8214597.56 ,54.73 ,-2.58 ,0.52 ,29.03 ,97.78 ,7.83 ,0.67 ,,855.00 ,49.00 ,4.00 ,45.00 ,0.00 
1869,600172.SH,黄河旋风,材料,237425736.32 ,92618212.39 ,3.92 ,267745655.81 ,791.00 ,13132081.97 ,94.73 ,-3.96 ,0.68 ,-19.50 ,137.97 ,49.04 ,0.73 ,22.18 ,952.00 ,29.00 ,4.00 ,23.00 ,2.00 
1870,600172.SH,黄河旋风,材料,249199526.32 ,55466753.32 ,3.05 ,274870323.10 ,436.00 ,5743761.64 ,124.90 ,-17.59 ,0.50 ,-8.42 ,-95.51 ,-103.95 ,0.96 ,14.15 ,470.00 ,21.00 ,1.00 ,0.00 ,20.00 
1871,600176.SH,中国巨石,材料,803149056.99 ,283805966.64 ,2.70 ,2113459262.37 ,1182.00 ,144385429.22 ,62.69 ,-8.44 ,1.38 ,3.32 ,1.44 ,7.85 ,1.27 ,10.37 ,1646.00 ,,,,
1872,600176.SH,中国巨石,材料,598997073.58 ,288768065.63 ,2.88 ,2384834658.94 ,1255.00 ,27672886.21 ,72.70 ,16.75 ,1.22 ,12.02 ,13.53 ,5.40 ,1.41 ,11.18 ,1576.00 ,,,,
1873,600176.SH,中国巨石,材料,521286357.25 ,252717051.38 ,2.92 ,2157591416.96 ,1153.00 ,43790422.86 ,72.51 ,33.89 ,1.31 ,79.78 ,227.60 ,5.33 ,1.56 ,11.85 ,1481.00 ,,,,
1874,600176.SH,中国巨石,材料,479446311.84 ,254614013.61 ,3.42 ,1528719094.69 ,849.00 ,54752869.09 ,61.27 ,8.26 ,0.98 ,11.02 ,-51.03 ,0.64 ,2.04 ,9.29 ,1231.00 ,,,,
1875,600176.SH,中国巨石,材料,403435029.55 ,202295583.70 ,2.87 ,986531563.69 ,885.00 ,55961454.16 ,57.42 ,10.85 ,1.05 ,-13.17 ,-77.12 ,1.44 ,2.69 ,10.55 ,1241.00 ,,,,
1876,600206.SH,有研新材,材料,75121730.60 ,98680535.53 ,0.94 ,112252332.18 ,271.00 ,20440675.80 ,67.65 ,-44.29 ,,-50.87 ,-599.36 ,-40.22 ,4.16 ,22.07 ,170.00 ,4.00 ,3.00 ,1.00 ,0.00 
1877,600206.SH,有研新材,材料,33228464.36 ,89037462.14 ,1.87 ,82500478.15 ,294.00 ,4651062.11 ,75.29 ,-49.10 ,,-23.25 ,-81.89 ,1.90 ,0.77 ,25.77 ,253.00 ,3.00 ,3.00 ,0.00 ,0.00 
1878,600206.SH,有研新材,材料,34723967.79 ,139300880.93 ,3.41 ,46504305.53 ,252.00 ,9764927.68 ,87.43 ,-26.19 ,,-1.17 ,635.12 ,8.06 ,0.94 ,21.45 ,216.00 ,0.00 ,0.00 ,0.00 ,0.00 
1879,600206.SH,有研新材,材料,35450251.26 ,127254239.73 ,3.34 ,50508118.96 ,254.00 ,11253495.26 ,48.39 ,9.38 ,0.78 ,15.36 ,81.22 ,11.88 ,1.50 ,23.83 ,242.00 ,0.00 ,0.00 ,0.00 ,0.00 
1880,600206.SH,有研新材,材料,35197422.46 ,106377273.37 ,4.11 ,33181400.10 ,205.00 ,8479250.00 ,47.27 ,-1.36 ,0.74 ,15.30 ,80.24 ,7.56 ,1.84 ,20.88 ,236.00 ,0.00 ,0.00 ,0.00 ,0.00 
1881,600210.SH,紫江企业,材料,214963302.99 ,178046706.69 ,1.93 ,519872911.48 ,471.00 ,40502590.35 ,65.70 ,2.62 ,1.13 ,3.28 ,-24.22 ,2.34 ,1.71 ,6.70 ,768.00 ,0.00 ,0.00 ,0.00 ,0.00 
1882,600210.SH,紫江企业,材料,223303784.20 ,159205676.67 ,1.77 ,453222491.15 ,453.00 ,34579702.08 ,67.36 ,4.58 ,1.12 ,3.40 ,-11.78 ,2.39 ,1.11 ,6.71 ,850.00 ,3.00 ,1.00 ,2.00 ,0.00 
1883,600210.SH,紫江企业,材料,228476164.71 ,150411141.43 ,1.77 ,570260453.75 ,465.00 ,34255942.82 ,67.29 ,20.80 ,1.21 ,18.67 ,48.03 ,2.80 ,1.63 ,6.69 ,805.00 ,13.00 ,0.00 ,4.00 ,9.00 
1884,600210.SH,紫江企业,材料,233877851.70 ,156686496.67 ,1.88 ,235442745.99 ,1405.00 ,23595375.86 ,21.75 ,1.92 ,3.80 ,-11.06 ,21.44 ,10.61 ,1.66 ,19.23 ,1475.00 ,4.00 ,1.00 ,2.00 ,1.00 
1885,600210.SH,紫江企业,材料,241906425.02 ,141888492.66 ,1.69 ,114346041.65 ,1475.00 ,17001818.45 ,24.03 ,1.10 ,3.28 ,-19.54 ,151.97 ,7.77 ,1.94 ,18.93 ,1630.00 ,2.00 ,0.00 ,1.00 ,1.00 
1886,600219.SH,南山铝业,材料,2408508165.04 ,1114715589.91 ,5.18 ,1736280868.26 ,2347.00 ,56698425.92 ,101.81 ,-22.35 ,0.08 ,16.80 ,10.14 ,-9.25 ,0.96 ,12.56 ,2148.00 ,51.00 ,36.00 ,15.00 ,0.00 
1887,600219.SH,南山铝业,材料,2380544805.51 ,711268791.00 ,3.52 ,1522515165.27 ,2264.00 ,45258667.34 ,98.55 ,-5.41 ,0.11 ,8.07 ,-254.84 ,-12.81 ,1.13 ,12.24 ,2058.00 ,55.00 ,32.00 ,23.00 ,0.00 
1888,600219.SH,南山铝业,材料,2428006829.52 ,635152155.14 ,3.72 ,1720334294.94 ,,32695997.67 ,90.81 ,-3.17 ,0.13 ,-4.61 ,-25.54 ,8.94 ,1.24 ,,1890.00 ,60.00 ,42.00 ,18.00 ,0.00 
1889,600219.SH,南山铝业,材料,2270077535.55 ,454940985.41 ,3.44 ,1344348332.86 ,2067.00 ,25950486.15 ,12.23 ,-4.11 ,1.53 ,4.66 ,-1610.27 ,-78.80 ,1.50 ,11.31 ,1215.00 ,16.00 ,13.00 ,3.00 ,0.00 
1890,600219.SH,南山铝业,材料,1478290912.90 ,424950573.16 ,3.11 ,670796088.89 ,1190.00 ,27624365.65 ,9.22 ,0.38 ,7.38 ,-63.42 ,117.16 ,5.46 ,1.64 ,11.01 ,1272.00 ,1.00 ,1.00 ,0.00 ,0.00 
1891,600226.SH,*ST瀚叶,材料,50584289.01 ,49987882.48 ,6.21 ,-676384872.04 ,208.00 ,9599492.00 ,57.61 ,13.50 ,1.35 ,18.44 ,136.08 ,1.70 ,0.48 ,22.78 ,334.00 ,0.00 ,0.00 ,0.00 ,0.00 
1892,600226.SH,*ST瀚叶,材料,77780202.61 ,105958920.21 ,10.79 ,137820374.75 ,209.00 ,6612248.78 ,58.99 ,16.83 ,1.32 ,20.72 ,-60.05 ,2.39 ,0.80 ,20.37 ,438.00 ,0.00 ,0.00 ,0.00 ,0.00 
1893,600226.SH,*ST瀚叶,材料,91318139.23 ,55604110.61 ,4.22 ,265606135.20 ,257.00 ,9934130.75 ,52.28 ,8.50 ,1.40 ,1.02 ,-48.89 ,7.22 ,0.89 ,18.38 ,387.00 ,0.00 ,0.00 ,0.00 ,0.00 
1894,600226.SH,*ST瀚叶,材料,65882340.45 ,31689810.57 ,3.15 ,233265890.21 ,193.00 ,10221625.27 ,59.19 ,-14.93 ,0.71 ,-76.50 ,97.61 ,133.90 ,1.32 ,9.37 ,418.00 ,1.00 ,1.00 ,0.00 ,0.00 
1895,600226.SH,*ST瀚叶,材料,68556929.28 ,31079658.93 ,3.08 ,134551051.09 ,196.00 ,12245141.27 ,69.55 ,282.34 ,0.50 ,-22.72 ,42.81 ,15.92 ,1.32 ,8.79 ,520.00 ,0.00 ,0.00 ,0.00 ,0.00 
1896,600228.SH,ST昌九,材料,10222018.85 ,14416910.11 ,3.33 ,1887399.37 ,21.00 ,261928.77 ,45.58 ,8.80 ,1.79 ,7.02 ,40.12 ,11.32 ,2.94 ,12.00 ,23.00 ,,,,
1897,600228.SH,ST昌九,材料,10477057.73 ,15760326.59 ,2.98 ,13525846.77 ,22.00 ,1881428.42 ,42.79 ,5.79 ,1.78 ,10.01 ,38.63 ,7.57 ,1.07 ,12.57 ,32.00 ,,,,
1898,600228.SH,ST昌九,材料,10670908.93 ,15635336.21 ,2.83 ,13572114.09 ,25.00 ,991496.25 ,44.02 ,-10.55 ,1.74 ,21.93 ,80.45 ,6.01 ,1.31 ,7.20 ,11.00 ,,,,
1899,600228.SH,ST昌九,材料,60524005.08 ,13261044.29 ,3.06 ,-43848421.18 ,25.00 ,1085092.25 ,72.89 ,3.06 ,0.78 ,4.62 ,58.26 ,1.26 ,2.44 ,6.27 ,12.00 ,,,,
1900,600228.SH,ST昌九,材料,62166767.46 ,1879038.18 ,,-21789275.63 ,,4405675.43 ,73.25 ,1.72 ,0.72 ,-7.17 ,31.18 ,0.83 ,1.96 ,,15.00 ,,,,
1901,600230.SH,沧州大化,材料,210207724.40 ,37410834.59 ,1.78 ,25809958.38 ,182.00 ,15789574.78 ,19.20 ,-0.71 ,3.17 ,1.90 ,61.14 ,25.84 ,0.95 ,12.29 ,101.00 ,0.00 ,0.00 ,0.00 ,0.00 
1902,600230.SH,沧州大化,材料,165059843.02 ,14240571.30 ,0.32 ,1072403422.31 ,15.00 ,3386248.33 ,24.71 ,-0.92 ,2.02 ,26.06 ,84.02 ,21.52 ,1.63 ,1.14 ,112.00 ,2.00 ,2.00 ,0.00 ,0.00 
1903,600230.SH,沧州大化,材料,172831475.58 ,2461163.11 ,0.06 ,1448119182.34 ,17.00 ,7121005.17 ,30.66 ,-1.23 ,1.55 ,4.17 ,10.64 ,14.74 ,1.13 ,1.24 ,88.00 ,4.00 ,3.00 ,1.00 ,0.00 
1904,600230.SH,沧州大化,材料,181336643.82 ,734558.13 ,0.02 ,418333788.94 ,21.00 ,13490256.51 ,84.76 ,41.38 ,2.83 ,-7.13 ,-235.92 ,-7.02 ,0.99 ,1.43 ,95.00 ,2.00 ,0.00 ,2.00 ,0.00 
1905,600230.SH,沧州大化,材料,190118668.87 ,536417.56 ,0.03 ,-731079116.34 ,7.00 ,1793590.68 ,77.03 ,29.88 ,3.16 ,19.53 ,-40.73 ,4.79 ,1.56 ,0.42 ,184.00 ,2.00 ,2.00 ,0.00 ,0.00 
1906,600231.SH,凌钢股份,材料,539458468.53 ,9818687.46 ,0.05 ,427699016.89 ,35.00 ,5367328.07 ,54.98 ,-3.01 ,1.03 ,-10.36 ,-26.12 ,26.60 ,3.16 ,0.44 ,1007.00 ,16.00 ,4.00 ,12.00 ,0.00 
1907,600231.SH,凌钢股份,材料,556971744.93 ,10286631.38 ,0.05 ,1197362869.00 ,111.00 ,1432291.66 ,59.58 ,-11.06 ,1.02 ,-15.77 ,185.63 ,28.77 ,1.31 ,1.40 ,1007.00 ,0.00 ,0.00 ,0.00 ,0.00 
1908,600231.SH,凌钢股份,材料,575549122.68 ,215000285.26 ,1.20 ,1206797916.91 ,588.00 ,35148202.36 ,63.53 ,2.68 ,0.40 ,185.27 ,-160.29 ,-28.30 ,1.50 ,7.26 ,1001.00 ,0.00 ,0.00 ,0.00 ,0.00 
1909,600231.SH,凌钢股份,材料,607647695.34 ,227715649.53 ,1.57 ,133938228.95 ,589.00 ,15158775.80 ,58.26 ,7.39 ,0.59 ,9.93 ,24.79 ,15.07 ,2.13 ,7.10 ,914.00 ,0.00 ,0.00 ,0.00 ,0.00 
1910,600231.SH,凌钢股份,材料,632732676.35 ,591897415.82 ,4.75 ,47622308.01 ,585.00 ,805020502.19 ,60.24 ,12.56 ,0.60 ,37.85 ,26.74 ,13.28 ,1.82 ,7.46 ,844.00 ,0.00 ,0.00 ,0.00 ,0.00 
1911,600235.SH,民丰特纸,材料,56622410.81 ,51972935.91 ,3.72 ,12797365.91 ,157.00 ,2022398.00 ,81.63 ,-8.89 ,1.71 ,72.43 ,93.37 ,9.14 ,1.50 ,11.28 ,164.00 ,4.00 ,4.00 ,0.00 ,0.00 
1912,600235.SH,民丰特纸,材料,47077378.61 ,58512439.33 ,3.85 ,8845822.15 ,164.00 ,3211369.81 ,83.38 ,-11.26 ,1.42 ,-46.43 ,-55.70 ,4.23 ,1.36 ,11.38 ,177.00 ,3.00 ,3.00 ,0.00 ,0.00 
1913,600235.SH,民丰特纸,材料,48145910.81 ,59054754.90 ,3.67 ,18423587.45 ,177.00 ,1046184.36 ,85.54 ,3.46 ,1.74 ,79.81 ,231.26 ,5.12 ,0.99 ,11.40 ,179.00 ,3.00 ,1.00 ,2.00 ,0.00 
1914,600235.SH,民丰特纸,材料,49214443.01 ,39824027.85 ,2.71 ,10063630.75 ,179.00 ,2727735.98 ,66.72 ,-4.62 ,0.40 ,6.64 ,251.21 ,4.57 ,0.52 ,10.86 ,181.00 ,2.00 ,1.00 ,1.00 ,0.00 
1915,600235.SH,民丰特纸,材料,50282975.21 ,50014986.84 ,3.54 ,-157981887.33 ,180.00 ,3572149.80 ,80.46 ,-1.75 ,0.36 ,-12.85 ,18.20 ,-3.22 ,0.98 ,10.50 ,184.00 ,3.00 ,2.00 ,0.00 ,1.00 
1916,600255.SH,*ST梦舟,材料,42899123.60 ,75994194.43 ,2.14 ,-1214713263.78 ,180.00 ,5132489.31 ,75.03 ,-2.98 ,1.24 ,-0.07 ,-28.10 ,0.39 ,1.75 ,16.57 ,117.00 ,0.00 ,0.00 ,0.00 ,0.00 
1917,600255.SH,*ST梦舟,材料,44255010.42 ,111877721.12 ,2.23 ,-1222014234.88 ,293.00 ,15150910.49 ,74.92 ,2.75 ,1.24 ,5.89 ,42.17 ,1.63 ,2.04 ,15.83 ,127.00 ,0.00 ,0.00 ,0.00 ,0.00 
1918,600255.SH,*ST梦舟,材料,44332782.66 ,85331024.05 ,1.59 ,192158975.71 ,263.00 ,10507470.13 ,75.05 ,2.00 ,1.23 ,9.29 ,-46.17 ,1.22 ,2.43 ,13.73 ,116.00 ,0.00 ,0.00 ,0.00 ,0.00 
1919,600255.SH,*ST梦舟,材料,45533998.16 ,67262267.42 ,1.31 ,201938404.77 ,232.00 ,22469166.00 ,66.43 ,23.57 ,0.67 ,10.90 ,2309.58 ,2.43 ,2.56 ,12.30 ,256.00 ,7.00 ,2.00 ,5.00 ,0.00 
1920,600255.SH,*ST梦舟,材料,46715000.97 ,59545825.05 ,1.03 ,41363129.79 ,278.00 ,11050325.00 ,60.36 ,5.64 ,0.70 ,-18.62 ,-103.21 ,-0.12 ,2.68 ,13.42 ,262.00 ,6.00 ,2.00 ,0.00 ,4.00 
1921,600259.SH,广晟有色,材料,187799184.26 ,6627775.38 ,0.15 ,37451613.15 ,99.00 ,99714181.58 ,80.78 ,65.02 ,0.56 ,60.04 ,111.62 ,9.52 ,1.59 ,6.69 ,112.00 ,,,,
1922,600259.SH,广晟有色,材料,200890445.67 ,6426015.99 ,0.27 ,-295293360.19 ,112.00 ,78332955.42 ,77.72 ,90.55 ,0.73 ,169.51 ,95.02 ,5.66 ,0.92 ,6.88 ,122.00 ,,,,
1923,600259.SH,广晟有色,材料,223492816.95 ,9461616.30 ,0.17 ,26349046.46 ,122.00 ,67266324.42 ,62.63 ,-0.07 ,0.83 ,15.84 ,52.32 ,7.83 ,1.36 ,7.24 ,169.00 ,,,,
1924,600259.SH,广晟有色,材料,237666159.14 ,11731554.31 ,0.28 ,9684373.23 ,169.00 ,68557684.11 ,24.00 ,5.48 ,3.41 ,17.20 ,-14.49 ,5.96 ,0.82 ,9.54 ,176.00 ,,,,
1925,600259.SH,广晟有色,材料,212028166.90 ,10537942.43 ,0.31 ,-311657264.09 ,176.00 ,31249106.25 ,23.40 ,19.43 ,3.45 ,53.10 ,3.97 ,8.17 ,0.91 ,7.34 ,234.00 ,,,,
1926,600265.SH,ST景谷,材料,20368532.46 ,352465.17 ,0.17 ,3380812.47 ,29.00 ,9852823.59 ,55.06 ,8.97 ,2.59 ,5.25 ,27.82 ,26.26 ,0.70 ,7.63 ,12.00 ,0.00 ,0.00 ,0.00 ,0.00 
1927,600265.SH,ST景谷,材料,21144687.87 ,,,5710436.96 ,,560000.00 ,57.95 ,12.65 ,2.48 ,26.32 ,54.21 ,22.08 ,2.01 ,,22.00 ,9.00 ,0.00 ,9.00 ,0.00 
1928,600265.SH,ST景谷,材料,21865566.30 ,,,-30896873.10 ,,623508.68 ,59.17 ,16.07 ,2.44 ,22.22 ,10.05 ,18.09 ,3.14 ,,14.00 ,0.00 ,0.00 ,0.00 ,0.00 
1929,600265.SH,ST景谷,材料,23068367.70 ,,,34677783.46 ,,11303581.00 ,43.30 ,24.80 ,1.31 ,32.78 ,-1365.65 ,-139.09 ,3.01 ,,15.00 ,0.00 ,0.00 ,0.00 ,0.00 
1930,600265.SH,ST景谷,材料,23526447.03 ,,,-91320301.09 ,,,56.95 ,0.14 ,0.61 ,-0.26 ,107.78 ,14.59 ,3.43 ,,71.00 ,0.00 ,0.00 ,0.00 ,0.00 
1931,600273.SH,嘉化能源,材料,382371609.87 ,193057989.54 ,3.60 ,1230591177.95 ,229.00 ,33447275.37 ,41.41 ,30.81 ,1.78 ,-11.58 ,-33.27 ,4.67 ,1.98 ,16.86 ,223.00 ,2.00 ,1.00 ,1.00 ,0.00 
1932,600273.SH,嘉化能源,材料,278450575.49 ,199132156.90 ,3.55 ,1104119390.13 ,223.00 ,16297458.61 ,49.01 ,7.50 ,1.58 ,4.55 ,12.92 ,6.26 ,1.28 ,16.77 ,220.00 ,5.00 ,2.00 ,3.00 ,0.00 
1933,600273.SH,嘉化能源,材料,284941718.52 ,199573983.24 ,3.58 ,971553651.44 ,220.00 ,10491551.41 ,48.34 ,10.69 ,1.63 ,17.12 ,157.64 ,5.80 ,1.23 ,17.19 ,194.00 ,7.00 ,3.00 ,4.00 ,0.00 
1934,600273.SH,嘉化能源,材料,150939160.61 ,128485335.11 ,2.85 ,743074418.08 ,194.00 ,1997366.89 ,19.24 ,18.23 ,3.12 ,8.68 ,127.49 ,53.68 ,2.07 ,16.40 ,211.00 ,3.00 ,2.00 ,1.00 ,0.00 
1935,600273.SH,嘉化能源,材料,147435226.28 ,119377233.75 ,3.52 ,675297193.04 ,211.00 ,3443391.67 ,25.24 ,23.06 ,3.00 ,0.01 ,67.65 ,25.65 ,3.88 ,19.81 ,200.00 ,5.00 ,4.00 ,0.00 ,1.00 
1936,600277.SH,亿利洁能,材料,1034091820.03 ,142653728.01 ,1.15 ,1101782854.35 ,711.00 ,23774350.87 ,48.99 ,25.18 ,1.24 ,23.41 ,-13.10 ,5.31 ,0.93 ,16.03 ,431.00 ,14.00 ,0.00 ,14.00 ,0.00 
1937,600277.SH,亿利洁能,材料,2493725854.36 ,33935127.10 ,0.20 ,1124923399.75 ,298.00 ,29059228.45 ,46.37 ,20.27 ,1.32 ,14.50 ,12.04 ,7.36 ,0.23 ,7.08 ,350.00 ,1.00 ,0.00 ,1.00 ,0.00 
1938,600277.SH,亿利洁能,材料,1935166076.04 ,9686423.90 ,0.06 ,750420508.39 ,,8657532.57 ,40.96 ,10.55 ,1.40 ,20.16 ,25.69 ,7.53 ,0.25 ,,312.00 ,15.00 ,0.00 ,15.00 ,0.00 
1939,600277.SH,亿利洁能,材料,1802927167.66 ,1178429.34 ,,392081888.62 ,,22171525.01 ,72.30 ,-1.05 ,1.71 ,-57.26 ,-74.25 ,25.13 ,1.55 ,,218.00 ,0.00 ,0.00 ,0.00 ,0.00 
1940,600277.SH,亿利洁能,材料,2120180480.80 ,2786181.73 ,0.03 ,152297182.19 ,35.00 ,73448693.31 ,72.70 ,23.28 ,1.90 ,131.22 ,163.22 ,41.72 ,2.64 ,1.14 ,173.00 ,0.00 ,0.00 ,0.00 ,0.00 
1941,600281.SH,太化股份,材料,696196.54 ,,,48266975.62 ,,2000000.00 ,62.77 ,5.77 ,1.84 ,23.76 ,215.78 ,72.30 ,1.38 ,,52.00 ,0.00 ,0.00 ,0.00 ,0.00 
1942,600281.SH,太化股份,材料,4987237.74 ,414886.44 ,0.06 ,-118371820.48 ,8.00 ,25890500.00 ,66.68 ,-0.85 ,1.46 ,1.52 ,13.82 ,22.28 ,1.89 ,2.21 ,88.00 ,0.00 ,0.00 ,0.00 ,0.00 
1943,600281.SH,太化股份,材料,5169175.12 ,898980.07 ,0.10 ,7479081.60 ,8.00 ,41080283.34 ,69.58 ,-6.35 ,1.92 ,38.95 ,86.82 ,19.87 ,1.97 ,1.20 ,131.00 ,0.00 ,0.00 ,0.00 ,0.00 
1944,600281.SH,太化股份,材料,5286117.50 ,797028.86 ,0.05 ,33613972.37 ,14.00 ,241548578.85 ,40.54 ,7.07 ,1.92 ,10.12 ,10.24 ,10.03 ,1.65 ,1.97 ,134.00 ,0.00 ,0.00 ,0.00 ,0.00 
1945,600281.SH,太化股份,材料,5447937.38 ,819741.86 ,0.04 ,-177299254.15 ,12.00 ,84907407.08 ,41.44 ,41.95 ,2.09 ,10.46 ,28.64 ,10.02 ,1.42 ,1.22 ,45.00 ,0.00 ,0.00 ,0.00 ,0.00 
1946,600282.SH,南钢股份,材料,871642727.78 ,1822878360.00 ,3.80 ,3364855184.42 ,859.00 ,103722479.14 ,72.44 ,10.11 ,1.63 ,20.77 ,51.86 ,28.01 ,2.78 ,8.45 ,1101.00 ,77.00 ,11.00 ,66.00 ,0.00 
1947,600282.SH,南钢股份,材料,845524418.61 ,1536200711.00 ,3.52 ,4740890937.02 ,797.00 ,70280320.58 ,70.21 ,0.00 ,1.93 ,-10.34 ,-68.85 ,7.84 ,2.42 ,7.54 ,942.00 ,21.00 ,21.00 ,0.00 ,0.00 
1948,600282.SH,南钢股份,材料,858747387.37 ,1179000000.00 ,3.14 ,3400687745.30 ,,65561680.37 ,68.52 ,-10.29 ,2.53 ,-15.72 ,-24.30 ,22.57 ,2.74 ,,946.00 ,2.00 ,2.00 ,0.00 ,0.00 
1949,600282.SH,南钢股份,材料,879047582.96 ,801780000.00 ,3.32 ,354884954.98 ,790.00 ,60050352.87 ,71.72 ,11.24 ,0.72 ,14.25 ,108.18 ,1.92 ,3.09 ,7.38 ,1007.00 ,0.00 ,0.00 ,0.00 ,0.00 
1950,600282.SH,南钢股份,材料,890408077.89 ,703019000.00 ,3.16 ,-2432528203.49 ,790.00 ,78967054.28 ,69.27 ,-0.48 ,0.70 ,-29.11 ,-147.25 ,-26.77 ,3.86 ,6.93 ,1031.00 ,0.00 ,0.00 ,0.00 ,0.00 
1951,600307.SH,酒钢宏兴,材料,2775338679.28 ,396990052.09 ,0.85 ,1243569810.04 ,1003.00 ,57654708.83 ,41.11 ,6.41 ,1.92 ,15.28 ,0.40 ,4.84 ,3.88 ,4.73 ,958.00 ,155.00 ,24.00 ,131.00 ,0.00 
